?primaryID	?secondaryID
Q21139972	Q21423339
Q21140051	Q21433446
Q21146160	Q21978864
Q21151033	Q21443833
Q18029102	Q6715781
Q18029155	Q6714356
Q18029199	Q6716812
Q18029224	Q4713508
Q18029236	Q6716924
Q18029242	Q6716978
Q18029423	Q16252520
Q18029451	Q6717886
Q18029462	Q9026379
Q18029537	Q1022627
Q18029537	Q6718444
Q18029573	Q6589743
Q18029649	Q6718984
Q18029663	Q16252535
Q18029725	Q15996843
Q18029764	Q6720371
Q18029782	Q6720407
Q18029794	Q6720419
Q18029827	Q6952116
Q18029833	Q6952138
Q18029879	Q4505940
Q18029884	Q6953142
Q18029903	Q21152071
Q18029963	Q6953350
Q18029965	Q6953351
Q18029980	Q6953354
Q18029988	Q6953357
Q18030003	Q5206048
Q18030028	Q6953456
Q18030050	Q6953612
Q18030105	Q9048323
Q18030165	Q6954487
Q18030185	Q6954962
Q18030194	Q3879234
Q18030194	Q5405634
Q18030213	Q15996953
Q18030215	Q7002149
Q18030218	Q6955132
Q18030233	Q6955564
Q18030272	Q4338639
Q18030282	Q7072830
Q18030294	Q7072906
Q18030296	Q10338656
Q18030299	Q7072928
Q18030308	Q7073113
Q18030313	Q7073175
Q18030314	Q16252608
Q18030335	Q7118656
Q18030338	Q15996990
Q18030341	Q7118119
Q18030350	Q16909198
Q18030369	Q7118502
Q18030376	Q7118537
Q18030383	Q7118620
Q18030400	Q7118762
Q18030407	Q4046163
Q18030408	Q7118787
Q18030436	Q7187511
Q18028337	Q6330650
Q18028407	Q6337192
Q18028489	Q3833218
Q18028616	Q6459063
Q18028716	Q6460442
Q18028724	Q6460452
Q18028783	Q3276438
Q18028818	Q6714167
Q18028836	Q15996779
Q18028867	Q3841204
Q18028916	Q420558
Q18028969	Q5205698
Q18029021	Q6592995
Q21106402	Q7670082
Q21106493	Q4059410
Q21107260	Q17174381
Q18030477	Q7119080
Q18030516	Q7187580
Q18030534	Q7389837
Q18030556	Q7119399
Q18030556	Q65295483
Q18030558	Q7119400
Q18030560	Q7119413
Q18030564	Q1422890
Q18030575	Q7119566
Q18030603	Q7119667
Q18030616	Q7119752
Q18030617	Q7119753
Q18030620	Q7119774
Q18030629	Q7119776
Q18030637	Q7389765
Q18030639	Q3500847
Q18030644	Q7119947
Q18030644	Q19598681
Q18030647	Q5205763
Q18030649	Q7119968
Q18030651	Q7119962
Q18030653	Q7119963
Q18030657	Q7119969
Q18030660	Q7119979
Q18030663	Q7119992
Q18030668	Q7120054
Q18030721	Q7120167
Q18030726	Q7120174
Q18030731	Q7120185
Q18030765	Q7120333
Q18030791	Q6714394
Q18030825	Q15997067
Q18030855	Q7120693
Q18030858	Q7120697
Q18030870	Q7120707
Q18030875	Q7120711
Q18030879	Q7120721
Q18030884	Q7120714
Q18030892	Q7120744
Q18030898	Q7250945
Q18030930	Q7121009
Q18030932	Q7120998
Q18030941	Q7121015
Q18030957	Q7121027
Q18030972	Q4650079
Q18030993	Q7275037
Q18030994	Q1568526
Q18031010	Q7275082
Q18031025	Q7275739
Q18031027	Q7275738
Q18031031	Q7275775
Q18031034	Q7275786
Q18031038	Q7275783
Q18031052	Q4653779
Q18031056	Q7275911
Q18031080	Q7276232
Q18031084	Q7276296
Q18031107	Q7276601
Q18031108	Q7276600
Q18031113	Q7316764
Q18031119	Q7276665
Q18031120	Q7276667
Q18031121	Q7276668
Q18031134	Q7276800
Q18031135	Q7276836
Q18031159	Q7277235
Q18031207	Q7275811
Q18031226	Q7322414
Q18031232	Q7277522
Q18031234	Q7277487
Q18031249	Q7277502
Q18031250	Q7277505
Q18031255	Q7277506
Q18031277	Q15997113
Q18031284	Q7277577
Q18031293	Q7277586
Q18040303	Q7276708
Q18040313	Q5635945
Q18040326	Q5007342
Q18040366	Q5007782
Q18040387	Q7275005
Q18040388	Q5009701
Q18040395	Q6047003
Q18040395	Q20007276
Q18040397	Q5629180
Q18040400	Q7671962
Q18040414	Q7119301
Q18040455	Q5008344
Q18040460	Q6332583
Q18040524	Q5014910
Q18040533	Q5205694
Q18040534	Q5012988
Q18040541	Q7275795
Q18040574	Q5513957
Q18040586	Q6720428
Q18040590	Q7390528
Q18040602	Q4835182
Q18040606	Q7392421
Q18040609	Q6955588
Q18040688	Q6591655
Q18040703	Q12745302
Q18040751	Q56354000
Q18040818	Q7118503
Q18040979	Q5514293
Q18040991	Q6954647
Q18041030	Q15997160
Q18041074	Q7866815
Q18041076	Q3648573
Q18041082	Q6953341
Q18041093	Q5322961
Q18041118	Q7864634
Q18041212	Q7390906
Q18041251	Q7277206
Q18041269	Q4651761
Q18041273	Q5513508
Q18041279	Q7394966
Q18041344	Q4652981
Q18041347	Q7276396
Q18041355	Q6953053
Q18041364	Q5009954
Q18041378	Q15997208
Q18041398	Q4651181
Q18041417	Q5424352
Q18041419	Q15996994
Q18041425	Q5513149
Q18041441	Q5008104
Q18041445	Q5012775
Q18041473	Q7120171
Q18041500	Q7671417
Q21103399	Q21143071
Q21103420	Q21149418
Q21104825	Q21107946
Q14881867	Q25411835
Q14885202	Q18028484
Q14908120	Q17835618
Q18050672	Q4654431
Q18050789	Q5514203
Q18050817	Q7119434
Q18050818	Q6720376
Q18050822	Q7277228
Q18050849	Q5512894
Q18050856	Q7390851
Q18050899	Q5007784
Q18051050	Q6715941
Q18051052	Q7390853
Q18051074	Q7395288
Q18051088	Q5424391
Q18051887	Q4836129
Q18052108	Q5009470
Q18052173	Q5009462
Q18052184	Q5013190
Q18039519	Q5204540
Q18039529	Q5007338
Q18039532	Q6717571
Q18039534	Q4650488
Q18039576	Q6715294
Q18039600	Q5013358
Q18039638	Q7670748
Q18039665	Q7389738
Q18039672	Q5013164
Q18039675	Q5513964
Q18039709	Q7277439
Q18039712	Q5206132
Q18039714	Q7119517
Q18039762	Q15997218
Q18039766	Q6956004
Q18039782	Q5014899
Q18039786	Q8063234
Q18039799	Q15996735
Q18039799	Q85388019
Q18039827	Q4654837
Q18039829	Q5204802
Q18039855	Q5204673
Q18039870	Q7669364
Q18039876	Q5012730
Q18039924	Q6717568
Q18039971	Q15996881
Q18039977	Q18387347
Q18040016	Q5013460
Q18040045	Q5008268
Q18040063	Q5635939
Q18040074	Q4654864
Q18040092	Q8062998
Q18040098	Q5012703
Q18040109	Q7119226
Q18040115	Q16920229
Q18040121	Q7118868
Q18040133	Q5197273
Q18040149	Q8063214
Q18040217	Q7392540
Q18040221	Q499716
Q18040222	Q7392682
Q18040251	Q7119989
Q18040254	Q6717569
Q18040264	Q5323162
Q18040273	Q21152037
Q7667890	Q21111792
Q7671461	Q21107794
Q7684469	Q21106680
Q7686858	Q21124325
Q7865201	Q21122914
Q7900869	Q21139408
Q7922674	Q21105699
Q7941454	Q21111464
Q8072290	Q21113602
Q12752331	Q21113430
Q14913250	Q21113275
Q18026285	Q5513981
Q18026305	Q5514113
Q18026313	Q5514142
Q18026347	Q5514256
Q18026355	Q7002540
Q18026358	Q12746325
Q18026375	Q5514247
Q18026393	Q5514254
Q18026470	Q5514358
Q18026487	Q1486722
Q18026530	Q5514484
Q18026665	Q5514800
Q18026748	Q5629714
Q18026756	Q5629729
Q18026776	Q5628900
Q18026793	Q5628960
Q18026802	Q5629016
Q18026854	Q12746419
Q18026892	Q5629625
Q18026900	Q5629664
Q18026935	Q5630141
Q18026955	Q17152649
Q18026994	Q6738346
Q18026999	Q5630220
Q18027035	Q5952723
Q18027046	Q5426933
Q18027065	Q5384464
Q18027086	Q5635337
Q18043095	Q7907068
Q18043095	Q11224228
