?primaryID	?secondaryID
Q18039519	Q5204540
Q18039529	Q5007338
Q18039532	Q6717571
Q18039534	Q4650488
Q18039576	Q6715294
Q18039600	Q5013358
Q18039638	Q7670748
Q18039665	Q7389738
Q18039672	Q5013164
Q18039675	Q5513964
Q18039709	Q7277439
Q18039712	Q5206132
Q18039714	Q7119517
Q18039762	Q15997218
Q18039766	Q6956004
Q18039782	Q5014899
Q18039786	Q8063234
Q18039799	Q15996735
Q18039799	Q85388019
Q18039827	Q4654837
Q18039829	Q5204802
Q18039855	Q5204673
Q18039870	Q7669364
Q18039876	Q5012730
Q18039924	Q6717568
Q18039971	Q15996881
Q18039977	Q18387347
Q18040016	Q5013460
Q18040045	Q5008268
Q18040063	Q5635939
Q18040074	Q4654864
Q18040092	Q8062998
Q18040098	Q5012703
Q18040109	Q7119226
Q18040115	Q16920229
Q18040121	Q7118868
Q18040133	Q5197273
Q18040149	Q8063214
Q18040217	Q7392540
Q18040221	Q499716
Q18040222	Q7392682
Q18040251	Q7119989
Q18040254	Q6717569
Q18040264	Q5323162
Q18040273	Q21152037
Q18052318	Q4651690
Q18052431	Q7866813
Q18052435	Q5628815
Q18052461	Q5012723
Q18041535	Q7550164
Q18041540	Q7670718
Q18041541	Q5008396
Q18041568	Q5629408
Q18041609	Q7119856
Q18041611	Q5010318
Q18041614	Q15996825
Q18041617	Q5007475
Q18041627	Q7277224
Q18041663	Q5424423
Q18041688	Q7072529
Q18041692	Q7390886
Q18041695	Q3852376
Q18041715	Q5972051
Q18041738	Q5424685
Q18041744	Q4836859
Q18041781	Q7394805
Q18041800	Q5629449
Q18041806	Q21152106
Q18041817	Q4653177
Q18041873	Q5011321
Q18041892	Q5426544
Q18041920	Q6459861
Q18041925	Q5514072
Q18041961	Q5008450
Q18041967	Q6460239
Q18041972	Q7275097
Q18042007	Q5205703
Q18042014	Q5011125
Q18042058	Q5007712
Q18042085	Q7118901
Q18042114	Q21152000
Q18042135	Q6459060
Q18042153	Q5012842
Q18042267	Q7118560
Q18042318	Q5205686
Q18042327	Q6459066
Q18042352	Q5013763
Q18042372	Q7118201
Q18042409	Q5324060
Q18042458	Q6327095
Q18054314	Q1522073
