?primaryID	?secondaryID
Q21106402	Q7670082
Q21106493	Q4059410
Q21107260	Q17174381
Q7667890	Q21111792
Q7671461	Q21107794
Q7684469	Q21106680
Q7686858	Q21124325
Q7865201	Q21122914
Q7900869	Q21139408
Q7922674	Q21105699
Q7941454	Q21111464
Q8072290	Q21113602
Q12752331	Q21113430
Q18043095	Q7907068
Q18043095	Q11224228
Q21096399	Q7572125
Q14913250	Q21113275
Q21104825	Q21107946
Q21103399	Q21143071
Q21103420	Q21149418
Q21118320	Q168294
Q21119955	Q47450720
Q21139972	Q21423339
Q21140051	Q21433446
Q21146160	Q21978864
Q21151033	Q21443833
Q4652604	Q21111344
Q4807720	Q21109474
Q4897318	Q21112861
Q5007390	Q21108393
Q5008266	Q21108311
Q5008826	Q21112944
Q5009796	Q21114010
Q5009824	Q21109691
Q5009846	Q21100600
Q5011104	Q21114956
Q5011707	Q21110512
Q5013459	Q21111977
Q5014192	Q28208893
Q5014587	Q21116880
Q5014882	Q21112073
Q5014947	Q21110758
Q5019078	Q14906727
Q5055040	Q21110573
Q5104531	Q21102368
Q21108566	Q18378646
Q21173381	Q21144528
Q5198270	Q21100446
Q5204455	Q21105102
Q5205770	Q21431298
Q5323823	Q21106390
Q5394965	Q21110307
Q5408693	Q21112344
Q5425457	Q21106100
Q5458076	Q21101455
Q5507033	Q21107510
Q5513074	Q21118199
Q5630986	Q21111376
Q5657577	Q21103438
Q5657580	Q21103447
Q5804960	Q21130087
Q6393585	Q21118506
Q6393588	Q21113483
Q6717778	Q21105827
Q6719107	Q21124811
Q6901317	Q21109460
Q6951383	Q21110437
Q6981561	Q21126327
Q7002385	Q21118852
Q7050954	Q21121364
Q7062526	Q21124902
Q7120326	Q21108164
Q7240673	Q39798
Q7240673	Q12957582
Q7240673	Q14761980
Q7240673	Q21143151
Q7240673	Q21170141
Q7240673	Q50265662
Q7240673	Q55185285
Q7240673	Q60495072
Q7273289	Q21102147
Q7310692	Q21125129
Q7317662	Q21111392
Q7392809	Q21137689
Q21101832	Q21151882
Q63398	Q21121611
Q171604	Q2807187
Q171604	Q21112208
Q205042	Q21150873
Q205042	Q25381217
Q223739	Q14851958
Q267200	Q539836
Q267200	Q12472130
Q267200	Q21422696
Q267200	Q66134617
Q288382	Q21119133
Q305481	Q18026453
Q305481	Q21097127
Q308856	Q21110870
Q356062	Q21418917
Q408305	Q21110733
Q408712	Q21106291
Q409450	Q21097211
Q409450	Q21142063
Q410485	Q21115114
Q412483	Q21111999
Q413766	Q21143305
Q413988	Q59992226
Q415364	Q21124279
Q416481	Q21115030
Q419337	Q21112230
Q419337	Q85971025
Q419613	Q107231485
Q419983	Q5628933
