primaryID,secondaryID
Q17908634,Q5013426
Q17909078,Q5013555
Q17909085,Q2113671
Q17909993,Q5013960
Q17910149,Q5013963
Q17910294,Q5013969
Q17910994,Q5014370
Q17911655,Q5014935
Q17912137,Q5014978
Q17912301,Q5204196
Q17913822,Q5204735
Q21104825,Q21107946
Q21103399,Q21143071
Q21103420,Q21149418
Q21118320,Q168294
Q21119955,Q47450720
Q14908120,Q17835618
Q14881867,Q25411835
Q14885202,Q18028484
Q17914020,Q1626443
Q17914044,Q5206867
Q17914049,Q5287183
Q17915097,Q5206306
Q17915098,Q5206314
Q17915106,Q5206325
Q17915108,Q5206384
Q17915374,Q5322678
Q17916076,Q5323061
Q17916236,Q15996672
Q17916776,Q6714473
Q17916874,Q5323841
Q17917650,Q5324597
Q17917752,Q5324741
Q17918420,Q5137665
Q17927049,Q5424288
Q17927936,Q5425467
Q17928333,Q5425503
Q17928632,Q5426947
Q17928827,Q5426557
Q17928883,Q5426649
Q18021733,Q5013628
Q18024764,Q5427261
Q18024840,Q5427297
Q18024860,Q5427299
Q18024958,Q1532328
Q18025012,Q4039105
Q18025315,Q4834423
Q18025380,Q5512844
Q18025986,Q5513547
Q18026018,Q5513551
Q18026064,Q5573598
Q18026222,Q5513923
Q18026244,Q5513934
Q27205,Q26998033
Q27205,Q60644171
Q27205,Q65284978
Q413988,Q59992226
Q2248886,Q24720328
Q2248886,Q66563523
Q7667890,Q21111792
Q7671461,Q21107794
Q7684469,Q21106680
Q7686858,Q21124325
Q7865201,Q21122914
Q7900869,Q21139408
Q7922674,Q21105699
Q7941454,Q21111464
Q8072290,Q21113602
Q12752331,Q21113430
Q18039519,Q5204540
Q18039529,Q5007338
Q18039532,Q6717571
Q18039534,Q4650488
Q18039576,Q6715294
Q18039600,Q5013358
Q18039638,Q7670748
Q18039665,Q7389738
Q18039672,Q5013164
Q18039675,Q5513964
Q18039709,Q7277439
Q18039712,Q5206132
Q18039714,Q7119517
Q18039762,Q15997218
Q18039766,Q6956004
Q18039782,Q5014899
Q18039786,Q8063234
Q18039799,Q15996735
Q18039799,Q85388019
Q18039827,Q4654837
Q18039829,Q5204802
Q18039855,Q5204673
Q18039870,Q7669364
Q18039876,Q5012730
Q18039924,Q6717568
Q18039971,Q15996881
