primaryID,secondaryID
Q27077623,Q27258754
Q27104658,Q3154107
Q27164772,Q109577157
Q27254478,Q65225001
Q66392,Q25500867
Q204178,Q16634192
Q216852,Q7067925
Q216852,Q16133827
Q216852,Q65286431
Q217740,Q110048949
Q255712,Q21086656
Q255712,Q98097611
Q258734,Q5991784
Q411638,Q60574158
Q419939,Q6579985
Q419939,Q119797802
Q886593,Q2305510
Q886593,Q10294659
Q886593,Q11395812
Q886593,Q16308515
Q898920,Q11723012
Q898920,Q18362964
Q905814,Q11309547
Q905814,Q12101141
Q926272,Q1347126
Q1060922,Q111312004
Q1060922,Q117756272
Q1073333,Q65167498
Q1075285,Q4301846
Q1227097,Q23440945
Q1227097,Q26706220
Q1434217,Q109037839
Q1671947,Q59312182
Q2110317,Q27149746
Q2602246,Q113374846
Q2698440,Q11733972
Q2698440,Q21044517
Q2981798,Q4002510
Q2981798,Q13173951
Q2981798,Q38134193
Q11255995,Q25101739
Q11370589,Q21099630
Q12457481,Q16524585
Q23570653,Q72484871
Q25091461,Q27258569
Q25091463,Q27275868
Q25104048,Q27291694
Q25111432,Q27149239
Q103517,Q12817749
Q103517,Q27896082
Q103517,Q31826287
Q107968,Q10825337
Q107968,Q12818164
Q107968,Q25615741
Q107968,Q25680708
Q107968,Q55706852
Q107968,Q97264220
Q107968,Q103854983
Q107968,Q103862121
Q326277,Q6063182
Q326277,Q6969826
Q326277,Q12028984
Q326277,Q12824582
Q326277,Q25581683
Q326277,Q97264499
Q326277,Q103856157
Q1064242,Q10911239
Q1064242,Q56611104
Q1993452,Q15841537
Q1993452,Q103864165
Q2268418,Q5785173
Q2268418,Q15811498
Q3955012,Q4864766
Q3955012,Q25442049
Q3955012,Q103865133
Q55524312,Q103863380
Q64137604,Q104167922
Q27127201,Q82124539
Q27127201,Q107315466
Q27894789,Q72488150
Q27894789,Q85977521
Q56651651,Q72482198
Q63410072,Q63410111
Q425668,Q15678750
Q426852,Q16634527
Q544393,Q21099219
Q546434,Q114244285
Q590622,Q12412876
Q866603,Q15628363
Q866603,Q17152514
Q1069066,Q3667033
Q1069066,Q24870068
Q1123466,Q12460770
Q1123466,Q19810948
Q1142307,Q15410916
Q1287838,Q15634109
Q1300070,Q2303160
Q1300070,Q18601367
Q1674518,Q28191019
Q1880736,Q20964928
Q1933902,Q18343389
Q1978959,Q20887174
Q27276370,Q84351391
Q27280952,Q60785024
Q27280952,Q65167493
Q69647353,Q108653840
Q72444217,Q76534560
Q72482477,Q116276778
Q72515103,Q27165172
Q27160096,Q56291675
Q27160226,Q29042346
Q27130652,Q27889475
Q3554446,Q27110371
Q27145172,Q27467087
Q27293926,Q72462791
Q424253,Q21087285
Q1185022,Q103866955
Q26987253,Q71533860
Q27140135,Q72504417
Q416667,Q119930329
Q417194,Q1176369
Q418038,Q12439667
Q418164,Q16322562
Q418747,Q119343966
Q418913,Q113401434
Q419330,Q12665192
Q419430,Q86011825
Q419521,Q113419072
Q419857,Q17633206
Q420035,Q96104953
Q420176,Q15726019
Q420657,Q65225875
Q407258,Q12420863
Q407258,Q27888083
Q407318,Q5959903
Q407318,Q11976334
Q407318,Q12460164
Q407635,Q12652024
Q408663,Q6659269
Q408898,Q6076782
Q409133,Q12415636
Q409375,Q12569113
Q409375,Q12957442
Q409587,Q120622713
Q410915,Q12441262
Q410915,Q12535653
Q410968,Q105280208
Q410968,Q105280211
Q410968,Q105280212
Q411046,Q12553775
Q411648,Q65166962
Q411781,Q120076916
Q411853,Q4492120
Q411853,Q12414432
Q411853,Q21082835
Q412845,Q12430632
Q413349,Q12458577
Q413426,Q12433094
Q413546,Q12235824
Q414659,Q17624179
Q415376,Q12412649
Q415996,Q117841668
Q416096,Q75067457
Q416291,Q12415659
Q416291,Q12415671
Q416451,Q113161847
Q911807,Q20071057
Q911807,Q65276955
Q2755640,Q97382036
Q106314612,Q106314613
Q2546,Q12438854
Q32703,Q15631933
Q41353,Q12567915
Q43656,Q65417310
Q49546,Q12412644
Q49546,Q97260390
Q52858,Q12686152
Q80232,Q110618315
Q83320,Q12444298
Q83320,Q13165563
Q83320,Q15963820
Q83320,Q25512853
Q83320,Q25621179
Q83320,Q27095507
Q105522,Q25620624
Q105522,Q66305399
Q113820,Q74412068
Q144362,Q12819121
Q150808,Q3273498
Q150808,Q12039472
Q150808,Q110124394
Q150977,Q12039490
Q150988,Q12039486
Q150988,Q29562251
Q155883,Q48632700
Q155954,Q60574337
Q161267,Q12412223
Q165930,Q65168352
Q169313,Q21105824
Q169313,Q66589572
Q3154109,Q26840873
Q3243177,Q4067029
Q3743702,Q60991096
Q3844407,Q12447546
