?primaryID	?name	?synonym
<Q74314>	"Titin"@en	"rhabdomyosarcoma antigen MU-RMS-40.14"@en
<Q74314>	"Titin"@en	"connectin"@en
<Q74314>	"Titin"@en	"TTN"@en
<Q74314>	"Titin"@en	"titin"@en
<Q74581>	"Growth differentiation factor 15"@en	"PTGF-beta"@en
<Q74581>	"Growth differentiation factor 15"@en	"prostate differentiation factor"@en
<Q74581>	"Growth differentiation factor 15"@en	"placental TGF-beta"@en
<Q74581>	"Growth differentiation factor 15"@en	"placental bone morphogenetic protein"@en
<Q74581>	"Growth differentiation factor 15"@en	"NSAID-regulated gene 1 protein"@en
<Q74581>	"Growth differentiation factor 15"@en	"NSAID-activated gene 1 protein"@en
<Q74581>	"Growth differentiation factor 15"@en	"NSAID (nonsteroidal anti-inflammatory drug)-activated protein 1"@en
<Q74581>	"Growth differentiation factor 15"@en	"NRG-1"@en
<Q74581>	"Growth differentiation factor 15"@en	"non-steroidal anti-inflammatory drug-activated gene-1"@en
<Q74581>	"Growth differentiation factor 15"@en	"NAG-1"@en
<Q74581>	"Growth differentiation factor 15"@en	"MIC-1"@en
<Q74581>	"Growth differentiation factor 15"@en	"growth/differentiation factor 15"@en
<Q74581>	"Growth differentiation factor 15"@en	"GDF15"@en
<Q74581>	"Growth differentiation factor 15"@en	"macrophage inhibitory cytokine 1"@en
<Q92594>	"Opsin 4"@en	"Opsin-4"@en
<Q92594>	"Opsin 4"@en	"OPN4"@en
<Q92594>	"Opsin 4"@en	"melanopsin"@en
<Q94307>	"Thiopurine S-methyltransferase"@en	"S-adenosyl-L-methionine:thiopurine S-methyltransferase"@en
<Q94307>	"Thiopurine S-methyltransferase"@en	"Thiopurine methyltransferase"@en
<Q94307>	"Thiopurine S-methyltransferase"@en	"TPMT"@en
<Q94307>	"Thiopurine S-methyltransferase"@en	"thiopurine S-methyltransferase"@en
<Q409646>	"Serpin family A member 7"@en	"thyroxin-binding globulin"@en
<Q409646>	"Serpin family A member 7"@en	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7"@en
<Q409646>	"Serpin family A member 7"@en	"mutant serpin family A member 7"@en
<Q409646>	"Serpin family A member 7"@en	"SERPINA7"@en
<Q409646>	"Serpin family A member 7"@en	"thyroxine-binding globulin"@en
